"ABBREV";"LABEL";"NAME";"DESCRIPTION";"DATA_TYPE";"NOT_NULL";"TYPE";"STATUS";"DISPLAY_NAME";"ONTOLOGY_REFERENCE";"BIBLIOGRAPHICAL_REFERENCE";"PROPERTY";"METHOD";"SCALE";"SCALE_UNIT";"SCALE_TYPE";"SCALE_LEVEL";"DEFAULT_VALUE";"MINIMUM_VALUE";"MAXIMUM_VALUE";"VARIABLE_SET";"SYNONYM";"ENTRY_MESSAGE";"CODED_VALUES";"NOTES"
;;"yellow mottle";"The trait is scored for the plant response to the agent rice yellow mottle virus (RYMV). [CO:rs]";"integer";"FALSE";"observation";"active";"Yellow mottle";"CO_320:0000357";"Crop Ontology";;;"SCALE (for field test)\n1= No symptom observed\n3= Leaves green but with sparse dots or streaks and less than 5% of height reduction\n5= Leaves green or pale green with mottling and 6% to 25% of height reduction, flowering slightly delayed\n7= Leaves pale yellow or yellow and 26-75% of height reduction, flowering delayed\n9= Leaves turn yellow or orange, more than 75% of height reduction, no flowering or some plants dead.";;"categorical";;;1;9;"stress";"RYMV";;;"added by consie"
;"ZDef";"zinc deficiency";;;"FALSE";"observation";;"Zinc deficiency";"CO_320:0000069";"Crop Ontology";;;;;"categorical";;;;;"stress";"zinc sensitivity";;;"added by consie"
"ZDEF_GRNH_1_9";"ZDef";"zinc deficiency";;"integer";"FALSE";"observation";;"Zinc deficiency";;"SES 4th Ed. 1996";;"At growth stage: 2-4";"1= Growth and tillering nearly normal, healthy\n3= Growth and tillering nearly normal, basal leaves slightly discolored\n5= Growth and tillering severely retarded, about half of all leaves brown or yellow\n7= Growth and tillering ceases, most leaves brown or yellow\n9= Almost all plants dead or dying";;"categorical";;;1;9;"stress";;;;"added by consie"
"ZDEF_FLD_1_9";"Zn1";"zinc deficiency";"Observation done in the field";"integer";"FALSE";"observation";;"zinc deficiency";;;;;"1= Growth and tillering nearly normal, healthy\n3= Growth and tillering nearly normal, basal leaves slightly discolored\n5= Growth and tillering severely retarded, about half of all leaves brown or yellow\n7= Growth and tillering ceases, most leaves brown or yellow\n9= Almost all plants dead or dying";;"categorical";;;1;9;"stress";;;;"added by consie"
"PROGRAM";;"Program";"Program name";"character varying";"TRUE";"identification";;"Program";;;;;;;"discrete";;;;;"study identifier";;;;"added by aflores"
"PHASE";;"Phase";"Breeding phase name";"character varying";"TRUE";"identification";;"Phase";;;;;;;"discrete";;;;;"study identifier";;;;"added by aflores"
"PLACE";;"Place";"Place name";"character varying";"TRUE";"identification";;"Place";;;;;;;"discrete";;;;;"study identifier";;;;"added by aflores"
"YEAR_CONT";"YEAR";"YEAR";"Year when the trial/nursery was conducted";;"TRUE";"identification";;;;;;;;;"continuous";;;;;"study identifier";;;;"added by aflores"
"SEASON";;"season";"Season";"character varying";"TRUE";"identification";;"Season";;;;;;;"discrete";;;;;"study identifier";;;;"added by aflores"
"STUDY_NAME";;"study name";"human readable version of the study key";;"TRUE";"identification";;;;;;;;;;;;;;"study identifier";;;;"added by aflores"
"PROGRAM_ID";;"program id";"Program ID";"integer";"TRUE";"system";;"Program ID";;;;;;;"continuous";;;;;"study system identifier";;;;"added by aflores"
"PLACE_ID";;"place id";"Place ID";"integer";"TRUE";"system";;"Place ID";;;;;;;"continuous";;;;;"study system identifier";;;;"added by aflores"
"PHASE_ID";;"phase id";"Phase ID";"integer";"TRUE";"system";;"Phase ID";;;;;;;"continuous";;;;;"study system identifier";;;;"added by aflores"
"SEASON_ID";;"season id";"Season ID";"integer";"TRUE";"system";;"Season ID";;;;;;;"continuous";;;;;"study system identifier";;;;"added by aflores"
"STUDY_KEY";;"study key";"derived from master data references";"integer";"TRUE";"system";;"Study key";;;;;;;"continuous";;;;;"study system identifier";;;;"added by aflores"
"STUDY_TITLE";;"study title";"user defined description of a study";"character varying";"FALSE";"metadata";;"Study_Title";;;;;;;"discrete";;;;;"study metadata";;;;"added by aflores"
"STUDY_FILE";"STUDY_FILE";"study_file";"study_file";"character varying";"TRUE";"metadata";"active";"Study File";;;;;;;"discrete";;;;;"data import";;;;"added by lgallardo/aflores"
"ENTRY_FILE";"ENTRY_FILE";"entry_file";"entry_file";"character varying";"TRUE";"metadata";"active";"Entry File";;;;;;;"discrete";;;;;"data import";;;;"added by lgallardo/aflores"
"PLOT_FILE";"PLOT_FILE";"plot_file";"plot_file";"character varying";"TRUE";"metadata";"active";"Plot File";;;;;;;"discrete";;;;;"data import";;;;"added by lgallardo/aflores"
"PRODUCTION_PLAN_NAME";"PRODUCTION_PLAN_NAME";"production_plan_name";"production_plan_name";"character varying";"FALSE";"metadata";"active";"Production Plan Name";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_BSD_START_DATE";"PLANNED_BSD_START_DATE";"planned bsd start date";"planned bsd start date";"date";"FALSE";"metadata";"active";"Planned BSD Start Date";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_BSD_END_DATE";"PLANNED_BSD_END_DATE";"planned bsd end date";"planned bsd end date";"date";"FALSE";"metadata";"active";"Planned BSD End date";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_TEMPERATURE";"PLANNED_TEMPERATURE";"planned temperature";"planned temperature";"float";"FALSE";"metadata";"active";"Planned Temperature";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_BSD_PERSON_IN_CHARGE";"PLANNED_BSD_PERSON_IN_CHARGE";"planned bsd person in charge";"planned bsd person in charge";"character varying";"FALSE";"metadata";"active";"Planned BSD Person In Charge";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_BSD_REMARKS";"PLANNED_BSD_REMARKS";"planned bsd remarks";"planned bsd remarks";"character varying";"FALSE";"metadata";"active";"Planned BSD Remarks";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_CONTAINER_TYPE";"PLANNED_CONTAINER_TYPE";"planned container type";"planned container type";"character varying";"FALSE";"metadata";"active";"Planned Container Type";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_NO_OF_CONTAINERS";"PLANNED_NO_OF_CONTAINERS";"planned no. of containers";"planned no. of containers";"integer";"FALSE";"metadata";"active";"Planned No. of Containers";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_CONTAINER_PERSON_IN_CHARGE";"PLANNED_CONTAINER_PERSON_IN_CHARGE";"planned container person in charge";"planned container person in charge";"character varying";"FALSE";"metadata";"active";"Planned Container Person in Charge";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_CONTAINER_REMARKS";"PLANNED_CONTAINER_REMARKS";"planned container remarks";"planned container remarks";"character varying";"FALSE";"metadata";"active";"Planned Container Remarks";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_BASAL_DATE";"PLANNED_BASAL_DATE";"planned basal date";"planned basal date";"date";"FALSE";"metadata";"active";"Planned Basal Date";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_BASAL_FERTILIZER_TYPE";"PLANNED_BASAL_FERTILIZER_TYPE";"planned basal fertilizer type";"planned basal fertilizer type";"character varying";"FALSE";"metadata";"active";"Planned Basal Fertilizer";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_BASAL_AMOUNT";"PLANNED_BASAL_AMOUNT";"planned basal amount";"planned basal amount";"float";"FALSE";"metadata";"active";"Planned Basal Amount";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_BASAL_PERSON_IN_CHARGE";"PLANNED_BASAL_PERSON_IN_CHARGE";"planned basal person in charge";"planned basal person in charge";"character varying";"FALSE";"metadata";"active";"Planned Basal Person in Charge";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_BASAL_REMARKS";"PLANNED_BASAL_REMARKS";"planned basal remarks";"planned basal remarks";"character varying";"FALSE";"metadata";"active";"Planned Basal Remarks";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_SEEDING_DATE";"PLANNED_SEEDING_DATE";"planned seeding date";"planned seeding date";"date";"FALSE";"metadata";"active";"Planned Seeding Date";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_SEEDING_VOLUME";"PLANNED_SEEDING_VOLUME";"planned seeding volume";"planned seeding volume";"float";"FALSE";"metadata";"active";"Planned Seeding Volume";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_SEEDING_PERSON_IN_CHARGE";"PLANNED_SEEDING_PERSON_IN_CHARGE";"planned seeding person in charge";"planned seeding person in charge";"character varying";"FALSE";"metadata";"active";"Planned Seeding Person in Charge";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_SEEDING_REMARKS";"PLANNED_SEEDING_REMARKS";"planned seeding remarks";"planned seeding remarks";"character varying";"FALSE";"metadata";"active";"Planned Seeding Remarks";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_T1_DATE";"PLANNED_T1_DATE";"planned t1 date";"planned t1 date";"date";"FALSE";"metadata";"active";"Planned T1 Date";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_T1_FERTILIZER_TYPE";"PLANNED_T1_FERTILIZER_TYPE";"planned t1 fertilizer type";"planned t1 fertilizer type";"character varying";"FALSE";"metadata";"active";"Planned T1 Fertilizer Type";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_T1_AMOUNT";"PLANNED_T1_AMOUNT";"planned t1 amount";"planned t1 amount";"float";"FALSE";"metadata";"active";"Planned T1 Amount";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_T1_PERSON_IN_CHARGE";"PLANNED_T1_PERSON_IN_CHARGE";"planned t1 person in charge";"planned t1 person in charge";"character varying";"FALSE";"metadata";"active";"Planned T1 Person in Charge";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_T1_REMARKS";"PLANNED_T1_REMARKS";"planned t1 remarks";"planned t1 remarks";"character varying";"FALSE";"metadata";"active";"Planned T1 Remarks";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_T2_DATE";"PLANNED_T2_DATE";"planned t2 date";"planned t2 date";"date";"FALSE";"metadata";"active";"Planned T2 Date";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_T2_AMOUNT";"PLANNED_T2_AMOUNT";"planned t2 amount";"planned t2 amount";"float";"FALSE";"metadata";"active";"Planned T2 Amount";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_T2_PERSON_IN_CHARGE";"PLANNED_T2_PERSON_IN_CHARGE";"planned t2 person in charge";"planned t2 person in charge";"character varying";"FALSE";"metadata";"active";"Planned T2 Person in Charge";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_T2_REMARKS";"PLANNED_T2_REMARKS";"planned t2 remarks";"planned t2 remarks";"character varying";"FALSE";"metadata";"active";"Planned T2 Remarks";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_HARVEST_DATE";"PLANNED_HARVEST_DATE";"planned harvest date";"planned harvest date";"date";"FALSE";"metadata";"active";"Planned Harvest Date";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_HARVEST_VOLUME";"PLANNED_HARVEST_VOLUME";"planned harvest volume";"planned harvest volume";"float";"FALSE";"metadata";"active";"Planned Harvest Volume";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_HARVEST_PERSON_IN_CHARGE";"PLANNED_HARVEST_PERSON_IN_CHARGE";"planned harvest person in charge";"planned harvest person in charge";"character varying";"FALSE";"metadata";"active";"Planned Harvest Person in Charge";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_HARVEST_REMARKS";"PLANNED_HARVEST_REMARKS";"planned harvest remarks";"planned harvest remarks";"character varying";"FALSE";"metadata";"active";"Planned Harvest Remarks";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_PESTICIDE_DATE";"PLANNED_PESTICIDE_DATE";"planned pesticide date";"planned pesticide date";"date";"FALSE";"metadata";"active";"Planned Pesticide Date";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_TRIMMING_PERSON_IN_CHARGE";"PLANNED_TRIMMING_PERSON_IN_CHARGE";"planned trimming person in charge";"planned trimming person in charge";"character varying";"FALSE";"metadata";"active";"Planned Trimming Person in Charge";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_TRIMMING_REMARKS";"PLANNED_TRIMMING_REMARKS";"planned trimming remarks";"planned trimming remarks";"character varying";"FALSE";"metadata";"active";"Planned Trimming Remarks";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_IS_MOVEMENT_OF_TRAYS";"PLANNED_IS_MOVEMENT_OF_TRAYS";"planned is movement of trays";"planned is movement of trays";"boolean";"FALSE";"metadata";"active";"Planned Is Movement of Trays";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_TRAYS_PERSON_IN_CHARGE";"PLANNED_TRAYS_PERSON_IN_CHARGE";"planned trays person in charge";"planned trays person in charge";"character varying";"FALSE";"metadata";"active";"Planned Trays Person in Charge";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_TRAYS_REMARKS";"PLANNED_TRAYS_REMARKS";"planned trays remarks";"planned trays remarks";"character varying";"FALSE";"metadata";"active";"Planned Trays Remarks";;;;;;;"discrete";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_NO_OF_DAYS_BREAKING";"PLANNED_NO_OF_DAYS_BREAKING";"planned no of days breaking";"planned no of days breaking";"integer";"FALSE";"metadata";"active";"Planned No of Days Breaking";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_NO_OF_DAYS_BASAL";"PLANNED_NO_OF_DAYS_BASAL";"plsnned no of days basal";"plsnned no of days basal";"integer";"FALSE";"metadata";"active";"Planned No of Days Basal";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_NO_OF_DAYS_T1";"PLANNED_NO_OF_DAYS_T1";"planned no of days t1";"planned no of days t1";"integer";"FALSE";"metadata";"active";"Planned No of Days T1";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_NO_OF_DAYS_T2";"PLANNED_NO_OF_DAYS_T2";"planned no of days t2";"planned no of days t2";"integer";"FALSE";"metadata";"active";"Planned No of Days T2";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"PLANNED_NO_OF_DAYS_HARVEST";"PLANNED_NO_OF_DAYS_HARVEST";"planned no of days harvest";"planned no of days harvest";"integer";"FALSE";"metadata";"active";"Planned No of Days Harvest";;;;;;;"continuous";;;;;"planned values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_BSD_START_DATE";"ACTUAL_BSD_START_DATE";"actual bsd start date";"actual bsd start date";"date";"FALSE";"metadata";"active";"Actual BSD Start Date";;;;;;;"discrete";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_BSD_END_DATE";"ACTUAL_BSD_END_DATE";"actual bsd end date";"actual bsd end date";"date";"FALSE";"metadata";"active";"Actual BSD End Date";;;;;;;"discrete";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_TEMPERATURE";"ACTUAL_TEMPERATURE";"actual temperature";"actual temperature";"float";"FALSE";"metadata";"active";"Actual Temperature";;;;;;;"continuous";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_BSD_PERSON_IN_CHARGE";"ACTUAL_BSD_PERSON_IN_CHARGE";"actual bsd person in charge";"actual bsd person in charge";"character varying";"FALSE";"metadata";"active";"Actual BSD PErson in Charge";;;;;;;"discrete";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_BSD_REMARKS";"ACTUAL_BSD_REMARKS";"actual bsd remarks";"actual bsd remarks";"character varying";"FALSE";"metadata";"active";"Actual BSD Remarks";;;;;;;"discrete";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_SEEDING_DATE";"ACTUAL_SEEDING_DATE";"actual seeding date";"actual seeding date";"date";"FALSE";"metadata";"active";"Actual Seeding Date";;;;;;;"discrete";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_SEEDING_VOLUME";"ACTUAL_SEEDING_VOLUME";"actual seeding volume";"actual seeding volume";"float";"FALSE";"metadata";"active";"Actual Seeding Volume";;;;;;;"continuous";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_SEEDING_PERSON_IN_CHARGE";"ACTUAL_SEEDING_PERSON_IN_CHARGE";"actual seeding person in charge";"actual seeding person in charge";"character varying";"FALSE";"metadata";"active";"Actual Seeding Person in Charge";;;;;;;"discrete";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_SEEDING_REMARKS";"ACTUAL_SEEDING_REMARKS";"actual seeding remarks";"actual seeding remarks";"character varying";"FALSE";"metadata";"active";"Actual Seeding Remarks";;;;;;;"discrete";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_T1_DATE";"ACTUAL_T1_DATE";"actual t1 date";"actual t1 date";"date";"FALSE";"metadata";"active";"Actual T1 Date";;;;;;;"discrete";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"ACTUAL_T1_FERTILIZER_TYPE";"ACTUAL_T1_FERTILIZER_TYPE";"actual fertlizer type";"actual fertlizer type";"character varying";"FALSE";"metadata";"active";"Actual T1 Fertlizer Type";;;;;;;"discrete";;;;;"actual values set; entry metadata";;;;"added by etenorio/aflores"
"HILLS_PER_ROW";;"hills per row";"number of hills in a row";"integer";"FALSE";"metadata";;;;;;;;;"continuous";;;;;"plot_size";;;;
"DIST_BET_HILLS";;"distance between hills";"distance betweed hills in centimeters";"float";"FALSE";"metadata";;;;;;;;;"continuous";;;;;"plot_size";;;;
"PLOT_AREA_SQM";;"plot size";"plot size in square meters";"float";"FALSE";"metadata";;;;;;;;;"continuous";;;;;"plot_size";;;;
"PLOT_AREA_HA";;"plot size";"plot size in hectares";"float";"FALSE";"metadata";;;;;;;;;"continuous";;;;;"plot_size";;;;
;;"analytical software used";"Analytical software used";"character varying";"FALSE";"metadata";;;;;;;;;"discrete";;;;;"study_analysis";;;;
;;"methods for data analysis";"Methods for data analysis";"character varying";"FALSE";"metadata";;;;;;;;;"discrete";;;;;"study_analysis";;;;
;;"additional information on data analysis";"Additional information on data analysis.";"character varying";"FALSE";"metadata";;;;;;;;;"discrete";;;;;"study_analysis";;;;
;;"site mean yield";"Site mean yield";"float";"FALSE";"metadata";;;;;;;;;"continuous";;;;;"study_analysis";;;;
;;"heritability";"Heritability (broad sense)";"character varying";"FALSE";"metadata";;;;;;;;;"discrete";;;;;"study_analysis";;;;
;;"lsd";"LSD";"character varying";"FALSE";"metadata";;;;;;;;;"discrete";;;;;"study_analysis";;;;
"FLD_LOC_ID";;"field location id";"field location ID";"integer";"FALSE";"metadata";;;;;;;;;"continuous";;;;;"study_field";;;;
"field_area_total";;"field area total";"Total field area (ha)";"float";"FALSE";"metadata";;;;;;;;;"continuous";;;;;"study_field";;;;
"T3_CONT";"T3";"T3 fertilizer";"T3 fertilizer used";"character varying";"FALSE";"metadata";;"T3 fertilizer";;;;"Record topdress 3 fertilizer used";;;"continuous";;;;;"field management";"Topdress 3";;;
"Amt_T3_CONT";"Amount_T3";"T3 fertilizer amount";"Amount of T3 fertilizer used";"character varying";"FALSE";"metadata";;"T2 fertilizer amount";;;;"Record the amount of topdress 3 fertilizer";"Measured in grams";;"continuous";;;;;"field management";;;;
"T4_CONT";"T4";"T4 fertilizer";"T4 fertilizer used";"character varying";"FALSE";"metadata";;"T4 fertilizer";;;;"Record topdress 4 fertilizer used";;;"continuous";;;;;"field management";"Topdress 4";;;
"Date_T3_CONT";"Date_T3";"T3 fertilizer application date";"Date of T3 fertilizer application";"character varying";"FALSE";"metadata";;"T3 fertilizer application date";;;;"Record the date of topdress 3 application";;;"continuous";;;;;"field management";;;;
"Date_T4_CONT";"Date_T4";"T4 fertilizer application date";"Date of T3 fertilizer application";"character varying";"FALSE";"metadata";;"T4 fertilizer application date";;;;"Record the date of topdress 4 application";;;"continuous";;;;;"field management";;;;
"AYLD_CONT";"AYLD";"Plot yield";"Actual yield in a plot";"character varying";"FALSE";"observation";;"Plot yield";;;;"Record the actual yield per plot";"Measured in gm.";;"continuous";;;;;"agronomic";;;;
"Fix_Lines";;"fix line";"Fix line name assigned";"character varying";"FALSE";"observation";;"Fix line";;;;"include fix line names if available";;;"continuous";;;;;"agronomic";;;;"added by consie"
"Parentage";;"parentage";"Cross";"character varying";"FALSE";"observation";;"parentage";;;;"Inlcude parents used for crossing";;;"continuous";;;;;"agronomic";;;;"added by consie"
"FLW_DATE_CONT";"FL Date";"flowering date";"Actual date of flowering";"character varying";"FALSE";"observation";;"flowering date";;;;"Record the date of flowering";;;"continuous";;;;;"agronomic";;;;"added by consie"
"LR1_SCOR_1_9";"LR1";"leaf roll 1";"Leaf rolling after severe stress 1st reading";"integer";"FALSE";"observation";;"Leaf rolling 1";;;;"At vegetative stage, record leaf roll reading 1";"1 = open\n3 = cup shaped\n5 = almost o shaped\n7 = closed shaped\n9 = completely rolled";;"continuous";;;;;"agronomic";;;;"added by consie"
"LR2_SCOR_1_9";"LR2";"leaf roll 2";"Leaf rolling after severe stress 2nd reading";"integer";"FALSE";"observation";;"Leaf rolling 2";;;;"At vegetative stage, record leaf roll reading 2";"1 = open\n3 = cup shaped\n5 = almost o shaped\n7 = closed shaped\n9 = completely rolled";;"continuous";;;;;"agronomic";;;;"added by consie"
"DTH_CONT";"DTH";"days to harvest";"Number of days to harvest";"integer";"FALSE";"observation";;"Days to harvest";;;;"Record the number of days to harvest";;;"continuous";;;;;"agronomic";;;;"added by consie"
"GRNWT_CONT";"GRNWT";"grain weight";"weight of grain from biomass sample";"integer";"FALSE";"observation";;"Grain weight";;;;"Record grain weith from biomass sample";"Measured in gms";;"continuous";;;;;"agronomic";;;;"added by consie"
"STRWWT_CONT";"STRWWT";"straw weight";"weight of straw from biomass sample";"integer";"FALSE";"observation";;"Straw Weight";;;;"Record straw weight from biomass sample";"Measured in gms";;"continuous";;;;;"agronomic";;;;"added by consie"
"TOTBM_CONT";"TOTALBM";"total biomass";"total biomass sample";"integer";"FALSE";"observation";;"Total Biomass";;;;"Computed as TOTBM = GRNWT + STRWWT";"Measured in gms";;"continuous";;;;;"agronomic";;;;"added by consie"
"HI_CONT";"HI";"harvest index";"harvest index";"integer";"FALSE";"observation";;"Harvest Index";;;;"At harvest computed as HI = GRNWT / TOTBM";;;"continuous";;;;;"agronomic";;;;"added by consie"
"ADJMC_CONT";"Adj MC";"adjusted moisture content";"moisture content measured after 2 days in the oven";"character varying";"FALSE";"observation";;"Adjusted MC";;;;"Measure MC after 2 days in the oven at 50 degrees";"Measured in %";;"continuous";;;;;"agronomic";;;;"added by consie"
"ADJYLD1_CONT";"Adj Plotyield 1";"adjusted plotyield 1";"actual plotyield with grain weight";"integer";"FALSE";"observation";;"Adjusted Plotyield 1";;;;"Computed as ADJYLD1 = AYLD + GRNWT";"Measured in gms";;"continuous";;;;;"agronomic";;;;"added by consie"
"ADJYLD2_CONT";"Adj Plotyield 2";"adjusted plotyield 2";"actual plotyield with yield from plants samples";"integer";"FALSE";"observation";;"Adjusted Plotyield 2";;;;"Computed as ADJTLD2 = AYLD + n, where n is the yield from plant samples";"Measured in gms";;"continuous";;;;;"agronomic";;;;"added by consie"
"ADJYLD3_CONT";"Adj Plotyield 3";"adjusted plotyield 3";"actual plotyield with grain weight and panicle or plants samples";"integer";"FALSE";"observation";;"Adjusted Plotyield 3";;;;"Computed as ADJYLD3 = AYLD + GRANWT + n, where n is the yield from plant or panicle samples";"Measured in gms";;"continuous";;;;;"agronomic";;;;"added by consie"
"ADJHVArea_CONT";"Adj Harvest Area";"adjusted harvest area";"using total hills and harvested hills to accurately compute for the harvest area, does not include biomass area in some cases";"integer";"FALSE";"observation";;"Adjusted Harvest Area";;;;"Computed as ADJHVArea = (harvest area * harvested hill) / total hills";"Measured in sqm";;"continuous";;;;;"agronomic";;;"Harvest Area    # of hills\n\n6    150 hills\n4    100 hills\n2    50 hills";"added by consie"
"YLD_CONT";"Yld";"grain yield";"The grain yield, measured in kilograms per hectare at 14 percent moisture. Growth stage: 9 on rough (paddy) rice. [CO:rs]";"character varying";"FALSE";"observation";"active";"Grain Yield";"CO_320:0000073";"Crop Ontology";;"Area harvested should not be less than 5 m2/plot (at least three border rows should be discarded). Report yield in kilogram per hectare on rough (paddy) rice at 14% moisture. [SES:12]";"kg/ha";;"continuous";;;;;"agronomic";"yield (grain)";;;"checked by consie"
"YLD_0_CONT";"GYKGPHA";"grain yield per kg/ha";"grain yield without moisture but not equal to 0";"character varying";"FALSE";"observation";;"grain yield per kg/ha";;;;"Computed as YLD = AYLD * (10/ADJHVArea)";"kg/ha";;"continuous";;;;;"agronomic";;;;"added by consie"
"YLD_1_CONT";"GYKGPHA1";"grain yield per kg/ha1";"grain yield with moisture, Grain Weight not included";"character varying";"FALSE";"observation";;"grain yield per kg/ha1";;;;"Computed as YLD = AYLD * MF * (10/ADJHVArea)";"kg/ha";;"continuous";;;;;"agronomic";;;;"added by consie"
"YLD_2_CONT";"GYKGPHA2";"grain yield per kg/ha2";"grain yield with any amount of seeds from samples in the study but not including Grain Weight from biomass samples";"character varying";"FALSE";"observation";;"grain yield per kg/ha2";;;;"Computed as YLD = ADJYLD2 * (10/ADJHVArea)";"kg/ha";;"continuous";;;;;"agronomic";;;;"added by consie"
"YLD_3_CONT";"GYKGPHA3";"grain yield per kg/ha3";"grain yield derived from ADJYLD2 with MC";"character varying";"FALSE";"observation";;"grain yield per kg/ha3";;;;"Computed as YLD = ADJYLD2 * MF * (10/ADJHVArea)";"kg/ha";;"continuous";;;;;"agronomic";;;;"added by consie"
"YLD_4_CONT";"GYKGPHA4";"grain yield per kg/ha4";"grain yield derived from ADJYLD1 w/o MC";"character varying";"FALSE";"observation";;"grain yield per kg/ha4";;;;"Computed as YLD = ADJYLD1 * (10/ADJHVArea)";"kg/ha";;"continuous";;;;;"agronomic";;;;"added by consie"
"YLD_5_CONT";"GYKGPHA5";"grain yield per kg/ha5";"grain yield derived from AYLD with moisture and Grain Weight";"character varying";"FALSE";"observation";;"grain yield per kg/ha5";;;;"Computed as YLD = ((AYLD * MF) + GRNWT) * (10/ADJHVArea)";"kg/ha";;"continuous";;;;;"agronomic";;;;"added by consie"
